order_id,customer_id,order_date,status
113,8,2023-06-03,Completed
114,9,2023-06-04,Completed
115,10,2023-06-05,Completed
116,11,2023-06-07,Completed
117,12,2023-06-08,Returned
118,13,2023-06-09,Completed
119,14,2023-06-11,Completed
120,15,2023-06-12,Cancelled
121,6,2023-06-14,Completed
122,7,2023-06-15,Completed
123,8,2023-06-16,Completed
124,9,2023-06-18,Completed
125,10,2023-06-19,Completed
126,11,2023-06-20,Completed
127,12,2023-06-22,Completed
128,13,2023-06-23,Completed
129,14,2023-06-24,Completed
130,15,2023-06-26,Cancelled
131,6,2023-06-27,Completed
132,7,2023-06-29,Completed
133,8,2023-06-30,Completed
134,9,2023-07-01,Completed
135,10,2023-07-03,Completed
136,11,2023-07-04,Completed
137,12,2023-07-05,Completed
138,13,2023-07-07,Completed
139,14,2023-07-08,Completed
140,15,2023-07-09,Cancelled
141,6,2023-07-11,Completed
142,7,2023-07-12,Completed
143,8,2023-07-14,Returned
144,9,2023-07-15,Completed
145,10,2023-07-16,Completed
146,11,2023-07-18,Completed
147,12,2023-07-19,Completed
148,13,2023-07-20,Completed
149,14,2023-07-22,Completed
150,15,2023-07-23,Cancelled
151,6,2023-07-25,Completed
152,7,2023-07-26,Completed
153,8,2023-07-27,Completed
154,9,2023-07-29,Completed
155,10,2023-07-30,Completed
156,11,2023-07-31,Returned
157,12,2023-08-02,Completed
158,13,2023-08-03,Completed
159,14,2023-08-04,Completed
160,15,2023-08-06,Cancelled
161,6,2023-08-07,Completed
162,7,2023-08-09,Completed
163,8,2023-08-10,Completed
164,9,2023-08-11,Completed
165,10,2023-08-13,Completed
166,11,2023-08-14,Completed
167,12,2023-08-15,Completed
168,13,2023-08-17,Completed
169,14,2023-08-18,Returned
170,15,2023-08-19,Cancelled
171,6,2023-08-21,Completed
172,7,2023-08-22,Completed
173,8,2023-08-24,Completed
174,9,2023-08-25,Completed
175,10,2023-08-26,Completed
176,11,2023-08-28,Completed
177,12,2023-08-29,Completed
178,13,2023-08-30,Completed
179,14,2023-09-01,Completed
180,15,2023-09-02,Cancelled
181,6,2023-09-04,Completed
182,7,2023-09-05,Returned
183,8,2023-09-06,Completed
184,9,2023-09-08,Completed
185,10,2023-09-09,Completed
186,11,2023-09-10,Completed
187,12,2023-09-12,Completed
188,13,2023-09-13,Completed
189,14,2023-09-14,Completed
190,15,2023-09-16,Cancelled
191,16,2023-09-17,Completed
192,17,2023-09-19,Completed
193,18,2023-09-20,Completed
194,19,2023-09-21,Completed
195,20,2023-09-23,Returned
196,21,2023-09-24,Completed
197,22,2023-09-25,Completed
198,23,2023-09-27,Completed
199,24,2023-09-28,Completed
200,25,2023-09-30,Cancelled
201,26,2023-10-01,Completed
202,27,2023-10-01,Completed
203,28,2023-10-02,Completed
204,29,2023-10-03,Completed
205,30,2023-10-03,Completed
206,31,2023-10-04,Completed
207,32,2023-10-05,Completed
208,33,2023-10-05,Returned
209,34,2023-10-06,Completed
210,35,2023-10-07,Cancelled
211,16,2023-10-08,Completed
212,17,2023-10-08,Completed
213,18,2023-10-09,Completed
214,19,2023-10-10,Completed
215,20,2023-10-10,Completed
216,21,2023-10-11,Completed
217,22,2023-10-12,Completed
218,23,2023-10-12,Completed
219,24,2023-10-13,Completed
220,25,2023-10-14,Cancelled
221,26,2023-10-15,Returned
222,27,2023-10-15,Completed
223,28,2023-10-16,Completed
224,29,2023-10-17,Completed
225,30,2023-10-17,Completed
226,31,2023-10-18,Completed
227,32,2023-10-19,Completed
228,33,2023-10-20,Completed
229,34,2023-10-20,Completed
230,35,2023-10-21,Cancelled
231,16,2023-10-22,Completed
232,17,2023-10-22,Completed
233,18,2023-10-23,Completed
234,19,2023-10-24,Returned
235,20,2023-10-24,Completed
236,21,2023-10-25,Completed
237,22,2023-10-26,Completed
238,23,2023-10-27,Completed
239,24,2023-10-27,Completed
240,25,2023-10-28,Cancelled
241,26,2023-10-29,Completed
242,27,2023-10-29,Completed
243,28,2023-10-30,Completed
244,29,2023-10-31,Completed
245,30,2023-11-01,Completed
246,31,2023-11-01,Completed
247,32,2023-11-02,Returned
248,33,2023-11-03,Completed
249,34,2023-11-03,Completed
250,35,2023-11-04,Cancelled
251,16,2023-11-05,Completed
252,17,2023-11-05,Completed
253,18,2023-11-06,Completed
254,19,2023-11-07,Completed
255,20,2023-11-08,Completed
256,21,2023-11-08,Completed
257,22,2023-11-09,Completed
258,23,2023-11-10,Completed
259,24,2023-11-10,Completed
260,25,2023-11-11,Cancelled
261,26,2023-11-12,Completed
262,27,2023-11-13,Completed
263,28,2023-11-13,Completed
264,29,2023-11-14,Completed
265,30,2023-11-15,Completed
266,31,2023-11-15,Completed
267,32,2023-11-16,Completed
268,33,2023-11-17,Completed
269,34,2023-11-17,Completed
270,35,2023-11-18,Cancelled
271,16,2023-11-19,Completed
272,17,2023-11-20,Completed
273,18,2023-11-20,Returned
274,19,2023-11-21,Completed
275,20,2023-11-22,Completed
276,21,2023-11-22,Completed
277,22,2023-11-23,Completed
278,23,2023-11-24,Completed
279,24,2023-11-25,Completed
280,25,2023-11-25,Cancelled
281,26,2023-11-26,Completed
282,27,2023-11-27,Completed
283,28,2023-11-27,Completed
284,29,2023-11-28,Completed
285,30,2023-11-29,Completed
286,31,2023-11-29,Returned
287,32,2023-11-30,Completed
288,33,2023-12-01,Completed
289,34,2023-12-02,Completed
290,35,2023-12-02,Cancelled
291,16,2023-12-03,Completed
292,17,2023-12-04,Completed
293,18,2023-12-04,Completed
294,19,2023-12-05,Completed
295,20,2023-12-06,Completed
296,21,2023-12-07,Completed
297,22,2023-12-07,Completed
298,23,2023-12-08,Completed
299,24,2023-12-09,Returned
300,25,2023-12-09,Cancelled
301,36,2023-12-10,Completed
302,37,2023-12-11,Completed
303,38,2023-12-11,Completed
304,39,2023-12-12,Completed
305,40,2023-12-13,Completed
306,41,2023-12-14,Completed
307,42,2023-12-14,Completed
308,43,2023-12-15,Completed
309,44,2023-12-16,Completed
310,45,2023-12-16,Cancelled
311,46,2023-12-17,Completed
312,47,2023-12-18,Returned
313,48,2023-12-19,Completed
314,49,2023-12-19,Completed
315,50,2023-12-20,Completed
316,51,2023-12-21,Completed
317,52,2023-12-21,Completed
318,53,2023-12-22,Completed
319,54,2023-12-23,Completed
320,55,2023-12-23,Cancelled
321,56,2023-12-24,Completed
322,57,2023-12-25,Completed
323,58,2023-12-26,Completed
324,59,2023-12-26,Completed
325,60,2023-12-27,Returned
326,36,2023-12-28,Completed
327,37,2023-12-28,Completed
328,38,2023-12-29,Completed
329,39,2023-12-30,Completed
330,40,2023-12-31,Cancelled
331,41,2024-01-01,Completed
332,42,2024-01-02,Completed
333,43,2024-01-03,Completed
334,44,2024-01-04,Completed
335,45,2024-01-05,Completed
336,46,2024-01-06,Completed
337,47,2024-01-07,Completed
338,48,2024-01-08,Returned
339,49,2024-01-09,Completed
340,50,2024-01-10,Cancelled
341,51,2024-01-11,Completed
342,52,2024-01-12,Completed
343,53,2024-01-13,Completed
344,54,2024-01-14,Completed
345,55,2024-01-15,Completed
346,56,2024-01-17,Completed
347,57,2024-01-18,Completed
348,58,2024-01-19,Completed
349,59,2024-01-20,Completed
350,60,2024-01-21,Cancelled
351,36,2024-01-22,Returned
352,37,2024-01-23,Completed
353,38,2024-01-24,Completed
354,39,2024-01-25,Completed
355,40,2024-01-26,Completed
356,41,2024-01-27,Completed
357,42,2024-01-28,Completed
358,43,2024-01-29,Completed
359,44,2024-01-30,Completed
360,45,2024-02-01,Cancelled
361,46,2024-02-02,Completed
362,47,2024-02-03,Completed
363,48,2024-02-04,Completed
364,49,2024-02-05,Returned
365,50,2024-02-06,Completed
366,51,2024-02-07,Completed
367,52,2024-02-08,Completed
368,53,2024-02-09,Completed
369,54,2024-02-10,Completed
370,55,2024-02-11,Cancelled
371,56,2024-02-12,Completed
372,57,2024-02-13,Completed
373,58,2024-02-14,Completed
374,59,2024-02-16,Completed
375,60,2024-02-17,Completed
376,36,2024-02-18,Completed
377,37,2024-02-19,Returned
378,38,2024-02-20,Completed
379,39,2024-02-21,Completed
380,40,2024-02-22,Cancelled
381,41,2024-02-23,Completed
382,42,2024-02-24,Completed
383,43,2024-02-25,Completed
384,44,2024-02-26,Completed
385,45,2024-02-27,Completed
386,46,2024-02-28,Completed
387,47,2024-02-29,Completed
388,48,2024-03-02,Completed
389,49,2024-03-03,Completed
390,50,2024-03-04,Cancelled
391,51,2024-03-05,Completed
392,52,2024-03-06,Completed
393,53,2024-03-07,Completed
394,54,2024-03-08,Completed
395,55,2024-03-09,Completed
396,56,2024-03-10,Completed
397,57,2024-03-11,Completed
398,58,2024-03-12,Completed
399,59,2024-03-13,Completed
400,60,2024-03-14,Cancelled
401,61,2024-03-15,Completed
402,62,2024-03-17,Completed
403,63,2024-03-18,Returned
404,64,2024-03-19,Completed
405,65,2024-03-20,Completed
406,66,2024-03-21,Completed
407,67,2024-03-22,Completed
408,68,2024-03-23,Completed
409,69,2024-03-24,Completed
410,70,2024-03-25,Cancelled
411,71,2024-03-26,Completed
412,72,2024-03-27,Completed
413,73,2024-03-28,Completed
414,74,2024-03-29,Completed
415,75,2024-03-30,Completed
416,76,2024-04-01,Returned
417,77,2024-04-02,Completed
418,78,2024-04-03,Completed
419,79,2024-04-04,Completed
420,80,2024-04-05,Cancelled
421,61,2024-04-06,Completed
422,62,2024-04-07,Completed
423,63,2024-04-08,Completed
424,64,2024-04-09,Completed
425,65,2024-04-10,Completed
426,66,2024-04-11,Completed
427,67,2024-04-12,Completed
428,68,2024-04-13,Completed
429,69,2024-04-14,Returned
430,70,2024-04-16,Cancelled
431,71,2024-04-17,Completed
432,72,2024-04-18,Completed
433,73,2024-04-19,Completed
434,74,2024-04-20,Completed
435,75,2024-04-21,Completed
436,76,2024-04-22,Completed
437,77,2024-04-23,Completed
438,78,2024-04-24,Completed
439,79,2024-04-25,Completed
440,80,2024-04-26,Cancelled
441,61,2024-04-27,Completed
442,62,2024-04-28,Returned
443,63,2024-04-29,Completed
444,64,2024-05-01,Completed
445,65,2024-05-02,Completed
446,66,2024-05-03,Completed
447,67,2024-05-04,Completed
448,68,2024-05-05,Completed
449,69,2024-05-06,Completed
450,70,2024-05-07,Cancelled
451,71,2024-05-08,Completed
452,72,2024-05-09,Completed
453,73,2024-05-10,Completed
454,74,2024-05-11,Completed
455,75,2024-05-12,Returned
456,76,2024-05-13,Completed
457,77,2024-05-14,Completed
458,78,2024-05-16,Completed
459,79,2024-05-17,Completed
460,80,2024-05-18,Cancelled
461,61,2024-05-19,Completed
462,62,2024-05-20,Completed
463,63,2024-05-21,Completed
464,64,2024-05-22,Completed
465,65,2024-05-23,Completed
466,81,2024-05-24,Completed
467,82,2024-05-25,Completed
468,83,2024-05-26,Returned
469,84,2024-05-27,Completed
470,85,2024-05-28,Cancelled
471,86,2024-05-29,Completed
472,87,2024-05-31,Completed
473,88,2024-06-01,Completed
474,89,2024-06-02,Completed
475,90,2024-06-03,Completed
476,81,2024-06-04,Completed
477,82,2024-06-05,Completed
478,83,2024-06-06,Completed
479,84,2024-06-07,Completed
480,85,2024-06-08,Cancelled
481,86,2024-06-09,Returned
482,87,2024-06-10,Completed
483,88,2024-06-11,Completed
484,89,2024-06-12,Completed
485,90,2024-06-13,Completed
486,81,2024-06-15,Completed
487,82,2024-06-16,Completed
488,83,2024-06-17,Completed
489,84,2024-06-18,Completed
490,85,2024-06-19,Cancelled
491,86,2024-06-20,Completed
492,87,2024-06-21,Completed
493,88,2024-06-22,Completed
494,89,2024-06-23,Returned
495,90,2024-06-24,Completed
496,91,2024-06-25,Completed
497,92,2024-06-26,Completed
498,93,2024-06-27,Completed
499,94,2024-06-28,Completed
500,95,2024-06-30,Cancelled
